class_title,description,handout,handout_chinese,handout_spanish,handout_bengali,handout_french,handout_russian,additional_materials,prerequisite,level,series,format
Adobe Premiere Pro 101: The Basics,"Adobe Premiere Pro is the industry leading video editing program and part of the Adobe Creative Cloud software collection. Explore the interface and learn how to import, organize, sequence, and export your video. This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, video editing, adobe premiere, media production",class
Adobe Premiere Pro 201: Editing Tools,"Learn how and when to use Adobe Premiere Pro's editing tools to improve your video editing workflow. This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,Adobe Premiere Pro 101: The Basics,Intermediate,"studio40, video editing, adobe premiere, media production",class
Adobe Premiere Pro 301: Applying Effects,"Learn how to apply and adjust effects like transitions, stabilizers, and color presets to enhance the look and feel of your videos. This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,Adobe Premiere Pro 201: Editing Tools,Advanced,"studio40, video editing, adobe premiere, media production",class
Adobe Premiere Pro 401: Color Correction & Audio,"Learn how to fine tune your video projects by applying color correction and adjusting audio. This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,Adobe Premiere Pro 301: Applying Effects,Advanced,"studio40, video editing, adobe premiere, media production",class
Advanced CSS Selectors,Learn and build upon the basics of the CSS language to style your own webpage.,,,,,,,,HTML & CSS Basics,Intermediate,"web development, frontend, html, css, programming",class
Advanced Email,"In this class, you will learn how to use advanced email features such as setting an email signature, labeling your emails, scheduling emails to be sent later, setting up a vacation responder, and more.",https://drive.google.com/file/d/1NPvHSMRKopd7ZZ3pa3Zg7qPrzl08qqcO/view,,,,,,,Email Basics,Beginner,computer basics,class
Advanced Internet Searching,Learn advanced search strategies to narrow results and find the best information online.,https://drive.google.com/file/d/1bLbFfjbIhq23M-dSLT8Alk8MmbY5Id74/view,,,,,,,,Beginner,computer basics,class
Advanced Mac,"Explore advanced features of the Mac operating system, such as creating custom shortcuts, taking screenshots, organizing your open apps with Virtual Desktops, sharing files with AirDrop, and more.",,,,,,,,Mac Basics,Beginner,"mac, computer basics",class
Advanced Microsoft Word,"Explore more advanced features of Microsoft Word. Topics include mail merge, tables, text boxes, headers and footers, footnotes and endnotes.",https://drive.google.com/file/d/1uvgCUtMn11Iz8kp_02WJXNypCCj43d18/view,,,,,,,Microsoft Word for Beginners,Intermediate,"microsoft office, office software, microsoft word",class
Advanced Powerpoint,"Learn how to create a dynamic slideshow presentation using advanced techniques within Microsoft Powerpoint. Topics include embedding external content, adding a theme, and using advanced formatting techniques.",https://drive.google.com/file/d/1LOhupsdpBwcjYJhMWXK-TvN-CDl9Ox1b/view,,,,,,,Microsoft PowerPoint for Beginners,Intermediate,"microsoft office, office software, microsoft powerpoint",class
Advanced Python Functions Part 1: Higher Order Functions,"Building on concepts from our intermediate class, this session dives into advanced function techniques like higher-order functions and lambda expressions. You’ll also explore commonly used built-in functions to write cleaner, more functional-style Python code.

(Suggested prerequisite: Intermediate Python Function)

This class requires a gmail account to use Google Colab, a browser based coding environment.",https://colab.research.google.com/drive/1jV_L1nTbk2aEP3a2Il8smEcyzs20a2j3,,,,,,,Intermediate Python Functions,Advanced,"python, programming",class
Advanced Python Functions Part 2: Closures and Decorators,"Continuing from Advanced Python Functions Part 1, this class dives deeper into higher-order function concepts with a focus on closures and decorators. You’ll learn how to create functions that ""remember"" state and apply decorators to extend functionality in clean, reusable ways.

(Suggested prerequisite: Advanced Python Functions Part 1)

This class requires a gmail account to use Google Colab, a browser based coding environment.
",https://colab.research.google.com/drive/17HymvVq5cZpDNnApYiWAVm1rsWAfePDL,,,,,,,Advanced Python Functions Part 1: Higher Order Functions,Advanced,"python, programming",class
Advanced Python Functions Part 3: Recursions,"In the final session of the Advanced Python Functions series, we turn to recursion: a powerful technique where functions call themselves to solve problems. We’ll break down how recursion works, when to use it, and walk through clear, practical examples.

(Suggested prerequisite: Advanced Python Functions Part 2)	

This class requires a gmail account to use Google Colab, a browser based coding environment.",https://colab.research.google.com/drive/1wN6uBmQS3U1jWEX_ezEqGQYooaG4LUXS,,,,,,,Advanced Python Functions Part 2: Closures and Decorators,Advanced,"python, programming",class
Ancestry Library Edition,"Want to learn more about your family's history and origins? Sign up for this 2-hour class that will teach you how to navigate the Ancestry.com database so that you can learn more about your personal history!
A library card is required to participate in this program.",,,,,,,,,Beginner,library resource,class
